2025-05-17 03:36:48,444 - INFO - Max recompute ratio candidate: relu__26, ratio: 1023959185.3003308
2025-05-17 03:36:48,475 - INFO - Max recompute ratio candidate: relu__20, ratio: 1023959185.3003308
2025-05-17 03:36:48,505 - INFO - Max recompute ratio candidate: relu__29, ratio: 1023959185.3003308
2025-05-17 03:36:48,535 - INFO - Max recompute ratio candidate: relu__22, ratio: 1023959185.3003308
2025-05-17 03:36:48,566 - INFO - Max recompute ratio candidate: relu__23, ratio: 1023959185.3003308
2025-05-17 03:36:48,597 - INFO - Max recompute ratio candidate: relu__11, ratio: 1023959185.3003308
2025-05-17 03:36:48,627 - INFO - Max recompute ratio candidate: relu__150, ratio: 1023959185.3003308
2025-05-17 03:36:48,656 - INFO - Max recompute ratio candidate: convolution_30, ratio: 1023959185.3003308
2025-05-17 03:36:48,687 - INFO - Max recompute ratio candidate: convolution_31, ratio: 1023959185.3003308
2025-05-17 03:36:48,716 - INFO - Max recompute ratio candidate: relu__32, ratio: 1023959185.3003308
2025-05-17 03:36:48,746 - INFO - Max recompute ratio candidate: convolution_15, ratio: 1023959185.3003308
2025-05-17 03:36:48,776 - INFO - Max recompute ratio candidate: relu__28, ratio: 1023959185.3003308
2025-05-17 03:36:48,806 - INFO - Max recompute ratio candidate: relu__16, ratio: 1023959185.3003308
2025-05-17 03:36:48,836 - INFO - Max recompute ratio candidate: convolution_16, ratio: 1023959185.3003308
2025-05-17 03:36:48,868 - INFO - Max recompute ratio candidate: relu__17, ratio: 1023959185.3003308
2025-05-17 03:36:48,898 - INFO - Max recompute ratio candidate: convolution_33, ratio: 1023959185.3003308
2025-05-17 03:36:48,929 - INFO - Max recompute ratio candidate: relu__142, ratio: 1023959185.3003308
2025-05-17 03:36:48,959 - INFO - Max recompute ratio candidate: relu__13, ratio: 1023959185.3003308
2025-05-17 03:36:48,989 - INFO - Max recompute ratio candidate: convolution_12, ratio: 1023959185.3003308
2025-05-17 03:36:49,020 - INFO - Max recompute ratio candidate: convolution_147, ratio: 1023959185.3003308
2025-05-17 03:36:49,050 - INFO - Max recompute ratio candidate: relu__144, ratio: 1023959185.3003308
2025-05-17 03:36:49,080 - INFO - Max recompute ratio candidate: convolution_19, ratio: 1023959185.3003308
2025-05-17 03:36:49,109 - INFO - Max recompute ratio candidate: relu__31, ratio: 1023959185.3003308
2025-05-17 03:36:49,141 - INFO - Max recompute ratio candidate: convolution_21, ratio: 1023959185.3003308
2025-05-17 03:36:49,171 - INFO - Max recompute ratio candidate: convolution_24, ratio: 1023959185.3003308
2025-05-17 03:36:49,200 - INFO - Max recompute ratio candidate: convolution_34, ratio: 1023959185.3003308
2025-05-17 03:36:49,230 - INFO - Max recompute ratio candidate: relu__147, ratio: 1023959185.3003308
2025-05-17 03:36:49,260 - INFO - Max recompute ratio candidate: relu__14, ratio: 1023959185.3003308
2025-05-17 03:36:49,291 - INFO - Max recompute ratio candidate: convolution_136, ratio: 1023918373.8541253
2025-05-17 03:36:49,320 - INFO - Max recompute ratio candidate: convolution_137, ratio: 1023918373.8541253
2025-05-17 03:36:49,350 - INFO - Max recompute ratio candidate: relu__95, ratio: 1023918373.8541253
2025-05-17 03:36:49,379 - INFO - Max recompute ratio candidate: relu__118, ratio: 1023918373.8541253
2025-05-17 03:36:49,408 - INFO - Max recompute ratio candidate: relu__106, ratio: 1023918373.8541253
2025-05-17 03:36:49,439 - INFO - Max recompute ratio candidate: convolution_50, ratio: 1023918373.8541253
2025-05-17 03:36:49,468 - INFO - Max recompute ratio candidate: relu__52, ratio: 1023918373.8541253
2025-05-17 03:36:49,498 - INFO - Max recompute ratio candidate: convolution_100, ratio: 1023918373.8541253
2025-05-17 03:36:49,527 - INFO - Max recompute ratio candidate: convolution_113, ratio: 1023918373.8541253
2025-05-17 03:36:49,557 - INFO - Max recompute ratio candidate: relu__121, ratio: 1023918373.8541253
2025-05-17 03:36:49,586 - INFO - Max recompute ratio candidate: relu__125, ratio: 1023918373.8541253
2025-05-17 03:36:49,616 - INFO - Max recompute ratio candidate: relu__92, ratio: 1023918373.8541253
2025-05-17 03:36:49,646 - INFO - Max recompute ratio candidate: convolution_140, ratio: 1023918373.8541253
2025-05-17 03:36:49,676 - INFO - Max recompute ratio candidate: relu__109, ratio: 1023918373.8541253
2025-05-17 03:36:49,706 - INFO - Max recompute ratio candidate: convolution_71, ratio: 1023918373.8541253
2025-05-17 03:36:49,737 - INFO - Max recompute ratio candidate: relu__128, ratio: 1023918373.8541253
2025-05-17 03:36:49,767 - INFO - Max recompute ratio candidate: relu__77, ratio: 1023918373.8541253
