activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
getitem_125,activation,2592,-1,4677,4677,0,0.0,1e-06,0
relu__28,activation,2593,2594,4673,4676,3211264,0.3685375991240146,0.003136,3211264
convolution_31,activation,2594,2596,4669,4669,3211264,0.36775731111690424,0.003136,3211264
getitem_127,activation,2598,-1,4669,4669,512,0.0,1e-06,512
getitem_128,activation,2599,-1,4669,4669,512,0.0,1e-06,512
getitem_129,activation,2600,-1,4669,4669,0,0.0,1e-06,0
relu__29,activation,2601,2602,4665,4668,3211264,0.3662499830927702,0.003136,3211264
convolution_32,activation,2602,2604,4661,4661,12845056,0.36366950315050806,0.012544,12845056
getitem_131,activation,2606,-1,4661,4661,2048,0.0,2e-06,2048
getitem_132,activation,2607,-1,4661,4661,2048,0.0,2e-06,2048
getitem_133,activation,2608,-1,4661,4661,0,0.0,1e-06,0
relu__30,activation,2610,2634,4656,4660,12845056,0.35729203113913555,0.012544,12845056
convolution_33,activation,2611,2613,4652,4652,3211264,0.3593953271545471,0.003136,3211264
getitem_135,activation,2615,-1,4652,4652,512,0.0,1e-06,512
getitem_136,activation,2616,-1,4652,4652,512,0.0,1e-06,512
getitem_137,activation,2617,-1,4652,4652,0,0.0,1e-06,0
relu__31,activation,2618,2619,4648,4651,3211264,0.3562772471141071,0.003136,3211264
convolution_34,activation,2619,2621,4644,4644,3211264,0.3555553271267564,0.003136,3211264
getitem_139,activation,2623,-1,4644,4644,512,0.0,1e-06,512
getitem_140,activation,2624,-1,4644,4644,512,0.0,1e-06,512
getitem_141,activation,2625,-1,4644,4644,0,0.0,1e-06,0
relu__32,activation,2626,2627,4640,4643,3211264,0.3541186551023276,0.003136,3211264
convolution_35,activation,2627,2629,4636,4636,12845056,0.35109171100892145,0.012544,12845056
getitem_143,activation,2631,-1,4636,4636,2048,0.0,2e-06,2048
getitem_144,activation,2632,-1,4636,4636,2048,0.0,2e-06,2048
getitem_145,activation,2633,-1,4636,4636,0,0.0,1e-06,0
relu__33,activation,2635,2659,4608,4635,12845056,0.33259929499402663,0.012544,12845056
convolution_36,activation,2636,2638,4627,4627,6422528,0.3458437110763044,0.006272,6422528
getitem_147,activation,2640,-1,4627,4627,1024,0.0,1e-06,1024
getitem_148,activation,2641,-1,4627,4627,1024,0.0,1e-06,1024
getitem_149,activation,2642,-1,4627,4627,0,0.0,1e-06,0
relu__34,activation,2643,2644,4623,4626,6422528,0.34208460710383964,0.006272,6422528
convolution_37,activation,2644,2646,4619,4619,1605632,0.34155110308527953,0.001568,1605632
getitem_151,activation,2648,-1,4619,4619,1024,0.0,1e-06,1024
getitem_152,activation,2649,-1,4619,4619,1024,0.0,1e-06,1024
getitem_153,activation,2650,-1,4619,4619,0,0.0,1e-06,0
relu__35,activation,2651,2652,4615,4618,1605632,0.3400755190867933,0.001568,1605632
convolution_38,activation,2652,2654,4611,4611,6422528,0.33756569510512074,0.006272,6422528
getitem_155,activation,2656,-1,4611,4611,4096,0.0,4e-06,4096
getitem_156,activation,2657,-1,4611,4611,4096,0.0,4e-06,4096
getitem_157,activation,2658,-1,4611,4611,0,0.0,1e-06,0
convolution_39,activation,2659,2661,4604,4604,6422528,0.331248639026657,0.006272,6422528
getitem_159,activation,2663,-1,4604,4604,4096,0.0,4e-06,4096
getitem_160,activation,2664,-1,4604,4604,4096,0.0,4e-06,4096
getitem_161,activation,2665,-1,4604,4604,0,0.0,1e-06,0
relu__36,activation,2667,2691,4599,4603,6422528,0.3271393270269039,0.006272,6422528
convolution_40,activation,2668,2670,4595,4595,1605632,0.3290091510619971,0.001568,1605632
getitem_163,activation,2672,-1,4595,4595,1024,0.0,1e-06,1024
getitem_164,activation,2673,-1,4595,4595,1024,0.0,1e-06,1024
getitem_165,activation,2674,-1,4595,4595,0,0.0,1e-06,0
relu__37,activation,2675,2676,4591,4594,1605632,0.3260241910479965,0.001568,1605632
convolution_41,activation,2676,2678,4587,4587,1605632,0.32561868705786784,0.001568,1605632
getitem_167,activation,2680,-1,4587,4587,1024,0.0,1e-06,1024
getitem_168,activation,2681,-1,4587,4587,1024,0.0,1e-06,1024
getitem_169,activation,2682,-1,4587,4587,0,0.0,1e-06,0
relu__38,activation,2683,2684,4583,4586,1605632,0.3242946550287308,0.001568,1605632
convolution_42,activation,2684,2686,4579,4579,6422528,0.32347852700389934,0.006272,6422528
getitem_171,activation,2688,-1,4579,4579,4096,0.0,4e-06,4096
getitem_172,activation,2689,-1,4579,4579,4096,0.0,4e-06,4096
getitem_173,activation,2690,-1,4579,4579,0,0.0,1e-06,0
relu__39,activation,2692,2716,4574,4578,6422528,0.3192330230772495,0.006272,6422528
convolution_43,activation,2693,2695,4570,4570,1605632,0.32132095901295565,0.001568,1605632
getitem_175,activation,2697,-1,4570,4570,1024,0.0,1e-06,1024
getitem_176,activation,2698,-1,4570,4570,1024,0.0,1e-06,1024
getitem_177,activation,2699,-1,4570,4570,0,0.0,1e-06,0
relu__40,activation,2700,2701,4566,4569,1605632,0.3182090230155737,0.001568,1605632
convolution_44,activation,2701,2703,4562,4562,1605632,0.31777996701560923,0.001568,1605632
getitem_179,activation,2705,-1,4562,4562,1024,0.0,1e-06,1024
getitem_180,activation,2706,-1,4562,4562,1024,0.0,1e-06,1024
getitem_181,activation,2707,-1,4562,4562,0,0.0,1e-06,0
relu__41,activation,2708,2709,4558,4561,1605632,0.3163760630041361,0.001568,1605632
convolution_45,activation,2709,2711,4554,4554,6422528,0.3155742710083723,0.006272,6422528
getitem_183,activation,2713,-1,4554,4554,4096,0.0,4e-06,4096
getitem_184,activation,2714,-1,4554,4554,4096,0.0,4e-06,4096
getitem_185,activation,2715,-1,4554,4554,0,0.0,1e-06,0
relu__42,activation,2717,2741,4549,4553,6422528,0.3110215669814498,0.006272,6422528
convolution_46,activation,2718,2720,4545,4545,1605632,0.31341772697120907,0.001568,1605632
getitem_187,activation,2722,-1,4545,4545,1024,0.0,1e-06,1024
getitem_188,activation,2723,-1,4545,4545,1024,0.0,1e-06,1024
getitem_189,activation,2724,-1,4545,4545,0,0.0,1e-06,0
relu__43,activation,2725,2726,4541,4544,1605632,0.3102935029529036,0.001568,1605632
convolution_47,activation,2726,2728,4537,4537,1605632,0.3097989109344781,0.001568,1605632
getitem_191,activation,2730,-1,4537,4537,1024,0.0,1e-06,1024
getitem_192,activation,2731,-1,4537,4537,1024,0.0,1e-06,1024
getitem_193,activation,2732,-1,4537,4537,0,0.0,1e-06,0
relu__44,activation,2733,2734,4533,4536,1605632,0.308317182969302,0.001568,1605632
convolution_48,activation,2734,2736,4529,4529,6422528,0.3072962549626827,0.006272,6422528
getitem_195,activation,2738,-1,4529,4529,4096,0.0,4e-06,4096
getitem_196,activation,2739,-1,4529,4529,4096,0.0,4e-06,4096
getitem_197,activation,2740,-1,4529,4529,0,0.0,1e-06,0
relu__45,activation,2742,2766,4524,4528,6422528,0.3028551669735459,0.006272,6422528
convolution_49,activation,2743,2745,4520,4520,1605632,0.3049308149516582,0.001568,1605632
getitem_199,activation,2747,-1,4520,4520,1024,0.0,1e-06,1024
getitem_200,activation,2748,-1,4520,4520,1024,0.0,1e-06,1024
getitem_201,activation,2749,-1,4520,4520,0,0.0,1e-06,0
relu__46,activation,2750,2751,4516,4519,1605632,0.30180966302379947,0.001568,1605632
convolution_50,activation,2751,2753,4512,4512,1605632,0.3013928950186818,0.001568,1605632
getitem_203,activation,2755,-1,4512,4512,1024,0.0,1e-06,1024
getitem_204,activation,2756,-1,4512,4512,1024,0.0,1e-06,1024
getitem_205,activation,2757,-1,4512,4512,0,0.0,1e-06,0
relu__47,activation,2758,2759,4508,4511,1605632,0.3000166390221564,0.001568,1605632
convolution_51,activation,2759,2761,4504,4504,6422528,0.29916671902127545,0.006272,6422528
getitem_207,activation,2763,-1,4504,4504,4096,0.0,4e-06,4096
getitem_208,activation,2764,-1,4504,4504,4096,0.0,4e-06,4096
getitem_209,activation,2765,-1,4504,4504,0,0.0,1e-06,0
relu__48,activation,2767,2791,4499,4503,6422528,0.29478399899974445,0.006272,6422528
convolution_52,activation,2768,2770,4495,4495,1605632,0.29697228703647827,0.001568,1605632
getitem_211,activation,2772,-1,4495,4495,1024,0.0,1e-06,1024
getitem_212,activation,2773,-1,4495,4495,1024,0.0,1e-06,1024
getitem_213,activation,2774,-1,4495,4495,0,0.0,1e-06,0
relu__49,activation,2775,2776,4491,4494,1605632,0.2938429430648683,0.001568,1605632
convolution_53,activation,2776,2778,4487,4487,1605632,0.29336371105909326,0.001568,1605632
getitem_215,activation,2780,-1,4487,4487,1024,0.0,1e-06,1024
getitem_216,activation,2781,-1,4487,4487,1024,0.0,1e-06,1024
getitem_217,activation,2782,-1,4487,4487,0,0.0,1e-06,0
relu__50,activation,2783,2784,4483,4486,1605632,0.291935231046751,0.001568,1605632
convolution_54,activation,2784,2786,4479,4479,6422528,0.29111603105999506,0.006272,6422528
getitem_219,activation,2788,-1,4479,4479,4096,0.0,4e-06,4096
getitem_220,activation,2789,-1,4479,4479,4096,0.0,4e-06,4096
getitem_221,activation,2790,-1,4479,4479,0,0.0,1e-06,0
relu__51,activation,2792,2816,4474,4478,6422528,0.28651417504996046,0.006272,6422528
convolution_55,activation,2793,2795,4470,4470,1605632,0.2886850550621745,0.001568,1605632
getitem_223,activation,2797,-1,4470,4470,1024,0.0,1e-06,1024
getitem_224,activation,2798,-1,4470,4470,1024,0.0,1e-06,1024
getitem_225,activation,2799,-1,4470,4470,0,0.0,1e-06,0
relu__52,activation,2800,2801,4466,4469,1605632,0.28554649506509283,0.001568,1605632
convolution_56,activation,2801,2803,4462,4462,1605632,0.2850580470655112,0.001568,1605632
getitem_227,activation,2805,-1,4462,4462,1024,0.0,1e-06,1024
getitem_228,activation,2806,-1,4462,4462,1024,0.0,1e-06,1024
getitem_229,activation,2807,-1,4462,4462,0,0.0,1e-06,0
relu__53,activation,2808,2809,4458,4461,1605632,0.2836572150439023,0.001568,1605632
convolution_57,activation,2809,2811,4454,4454,6422528,0.2827212790623307,0.006272,6422528
getitem_231,activation,2813,-1,4454,4454,4096,0.0,4e-06,4096
getitem_232,activation,2814,-1,4454,4454,4096,0.0,4e-06,4096
getitem_233,activation,2815,-1,4454,4454,0,0.0,1e-06,0
relu__54,activation,2817,2841,4449,4453,6422528,0.2785525751262901,0.006272,6422528
convolution_58,activation,2818,2820,4445,4445,1605632,0.28055551907047627,0.001568,1605632
getitem_235,activation,2822,-1,4445,4445,1024,0.0,1e-06,1024
getitem_236,activation,2823,-1,4445,4445,1024,0.0,1e-06,1024
getitem_237,activation,2824,-1,4445,4445,0,0.0,1e-06,0
relu__55,activation,2825,2826,4441,4444,1605632,0.2774937590826301,0.001568,1605632
convolution_59,activation,2826,2828,4437,4437,1605632,0.27705036707781233,0.001568,1605632
getitem_239,activation,2830,-1,4437,4437,1024,0.0,1e-06,1024
getitem_240,activation,2831,-1,4437,4437,1024,0.0,1e-06,1024
getitem_241,activation,2832,-1,4437,4437,0,0.0,1e-06,0
relu__56,activation,2833,2834,4433,4436,1605632,0.27564031909964953,0.001568,1605632
convolution_60,activation,2834,2836,4429,4429,6422528,0.2747985910810528,0.006272,6422528
getitem_243,activation,2838,-1,4429,4429,4096,0.0,4e-06,4096
getitem_244,activation,2839,-1,4429,4429,4096,0.0,4e-06,4096
getitem_245,activation,2840,-1,4429,4429,0,0.0,1e-06,0
relu__57,activation,2842,2866,4424,4428,6422528,0.27043942301906626,0.006272,6422528
convolution_61,activation,2843,2845,4420,4420,1605632,0.2726154230348765,0.001568,1605632
getitem_247,activation,2847,-1,4420,4420,1024,0.0,1e-06,1024
getitem_248,activation,2848,-1,4420,4420,1024,0.0,1e-06,1024
getitem_249,activation,2849,-1,4420,4420,0,0.0,1e-06,0
relu__58,activation,2850,2851,4416,4419,1605632,0.26935295903123896,0.001568,1605632
convolution_62,activation,2851,2853,4412,4412,1605632,0.26889113503135714,0.001568,1605632
getitem_251,activation,2855,-1,4412,4412,1024,0.0,1e-06,1024
getitem_252,activation,2856,-1,4412,4412,1024,0.0,1e-06,1024
getitem_253,activation,2857,-1,4412,4412,0,0.0,1e-06,0
relu__59,activation,2858,2859,4408,4411,1605632,0.26744012706354225,0.001568,1605632
convolution_63,activation,2859,2861,4404,4404,6422528,0.2666608630754051,0.006272,6422528
getitem_255,activation,2863,-1,4404,4404,4096,0.0,4e-06,4096
getitem_256,activation,2864,-1,4404,4404,4096,0.0,4e-06,4096
getitem_257,activation,2865,-1,4404,4404,0,0.0,1e-06,0
relu__60,activation,2867,2891,4399,4403,6422528,0.2625136630330232,0.006272,6422528
convolution_64,activation,2868,2870,4395,4395,1605632,0.26455654306896,0.001568,1605632
getitem_259,activation,2872,-1,4395,4395,1024,0.0,1e-06,1024
getitem_260,activation,2873,-1,4395,4395,1024,0.0,1e-06,1024
getitem_261,activation,2874,-1,4395,4395,0,0.0,1e-06,0
relu__61,activation,2875,2876,4391,4394,1605632,0.26155315103568116,0.001568,1605632
convolution_65,activation,2876,2878,4387,4387,1605632,0.26111180703528203,0.001568,1605632
getitem_263,activation,2880,-1,4387,4387,1024,0.0,1e-06,1024
getitem_264,activation,2881,-1,4387,4387,1024,0.0,1e-06,1024
getitem_265,activation,2882,-1,4387,4387,0,0.0,1e-06,0
relu__62,activation,2883,2884,4383,4386,1605632,0.25966694304160753,0.001568,1605632
convolution_66,activation,2884,2886,4379,4379,6422528,0.258782207014039,0.006272,6422528
getitem_267,activation,2888,-1,4379,4379,4096,0.0,4e-06,4096
getitem_268,activation,2889,-1,4379,4379,4096,0.0,4e-06,4096
getitem_269,activation,2890,-1,4379,4379,0,0.0,1e-06,0
relu__63,activation,2892,2916,4374,4378,6422528,0.2546882549691944,0.006272,6422528
convolution_67,activation,2893,2895,4370,4370,1605632,0.2567383030131457,0.001568,1605632
getitem_271,activation,2897,-1,4370,4370,1024,0.0,1e-06,1024
getitem_272,activation,2898,-1,4370,4370,1024,0.0,1e-06,1024
getitem_273,activation,2899,-1,4370,4370,0,0.0,1e-06,0
relu__64,activation,2900,2901,4366,4369,1605632,0.2537185269854961,0.001568,1605632
convolution_68,activation,2901,2903,4362,4362,1605632,0.2533232629857955,0.001568,1605632
getitem_275,activation,2905,-1,4362,4362,1024,0.0,1e-06,1024
getitem_276,activation,2906,-1,4362,4362,1024,0.0,1e-06,1024
getitem_277,activation,2907,-1,4362,4362,0,0.0,1e-06,0
relu__65,activation,2908,2909,4358,4361,1605632,0.2519797749649731,0.001568,1605632
convolution_69,activation,2909,2911,4354,4354,6422528,0.2511441909782586,0.006272,6422528
getitem_279,activation,2913,-1,4354,4354,4096,0.0,4e-06,4096
getitem_280,activation,2914,-1,4354,4354,4096,0.0,4e-06,4096
getitem_281,activation,2915,-1,4354,4354,0,0.0,1e-06,0
relu__66,activation,2917,2941,4349,4353,6422528,0.24690585502423318,0.006272,6422528
convolution_70,activation,2918,2920,4345,4345,1605632,0.24895180695690183,0.001568,1605632
getitem_283,activation,2922,-1,4345,4345,1024,0.0,1e-06,1024
getitem_284,activation,2923,-1,4345,4345,1024,0.0,1e-06,1024
getitem_285,activation,2924,-1,4345,4345,0,0.0,1e-06,0
relu__67,activation,2925,2926,4341,4344,1605632,0.24581939104385644,0.001568,1605632
convolution_71,activation,2926,2928,4337,4337,1605632,0.2454056950528172,0.001568,1605632
getitem_287,activation,2930,-1,4337,4337,1024,0.0,1e-06,1024
getitem_288,activation,2931,-1,4337,4337,1024,0.0,1e-06,1024
getitem_289,activation,2932,-1,4337,4337,0,0.0,1e-06,0
relu__68,activation,2933,2934,4333,4336,1605632,0.24405606302991484,0.001568,1605632
convolution_72,activation,2934,2936,4329,4329,6422528,0.24321945500746345,0.006272,6422528
