rank,node_name,op_type,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,memory_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes,device
97,arg0_98,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
98,arg0_99,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
99,arg0_100,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
100,arg0_101,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
101,arg0_102,placeholder,parameter,forward,4.812800139188767e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
102,arg0_103,placeholder,parameter,forward,4.403200000524521e-05,751040512,751040512,-1,-1,-1,-1,589824,0.0,0.0,0,unknown
103,arg0_104,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
104,arg0_105,placeholder,parameter,forward,4.300799965858459e-05,751040512,751040512,-1,-1,-1,-1,512,0.0,0.0,0,unknown
105,arg0_106,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,262144,0.0,0.0,0,unknown
106,arg0_107,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
107,arg0_108,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
108,arg0_109,placeholder,parameter,forward,3.993599861860275e-05,751040512,751040512,-1,-1,-1,-1,524288,0.0,0.0,0,unknown
109,arg0_110,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
110,arg0_111,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
111,arg0_112,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,2359296,0.0,0.0,0,unknown
