activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
relu__63,CHECKPOINT,3211264,0.003136,2892,4374
convolution_67,CHECKPOINT,802816,0.000784,2893,4370
getitem_271,CHECKPOINT,1024,1e-06,2897,4370
getitem_272,CHECKPOINT,1024,1e-06,2898,4370
relu__64,CHECKPOINT,802816,0.000784,2900,4366
convolution_68,CHECKPOINT,802816,0.000784,2901,4362
getitem_275,CHECKPOINT,1024,1e-06,2905,4362
getitem_276,CHECKPOINT,1024,1e-06,2906,4362
relu__65,CHECKPOINT,802816,0.000784,2908,4358
convolution_69,CHECKPOINT,3211264,0.003136,2909,4354
getitem_279,CHECKPOINT,4096,4e-06,2913,4354
getitem_280,CHECKPOINT,4096,4e-06,2914,4354
relu__66,CHECKPOINT,3211264,0.003136,2917,4349
convolution_70,CHECKPOINT,802816,0.000784,2918,4345
getitem_283,CHECKPOINT,1024,1e-06,2922,4345
getitem_284,CHECKPOINT,1024,1e-06,2923,4345
relu__67,CHECKPOINT,802816,0.000784,2925,4341
convolution_71,CHECKPOINT,802816,0.000784,2926,4337
getitem_287,CHECKPOINT,1024,1e-06,2930,4337
getitem_288,CHECKPOINT,1024,1e-06,2931,4337
relu__68,CHECKPOINT,802816,0.000784,2933,4333
convolution_72,CHECKPOINT,3211264,0.003136,2934,4329
getitem_291,CHECKPOINT,4096,4e-06,2938,4329
getitem_292,CHECKPOINT,4096,4e-06,2939,4329
relu__69,CHECKPOINT,3211264,0.003136,2942,4324
convolution_73,CHECKPOINT,802816,0.000784,2943,4320
getitem_295,CHECKPOINT,1024,1e-06,2947,4320
getitem_296,CHECKPOINT,1024,1e-06,2948,4320
relu__70,CHECKPOINT,802816,0.000784,2950,4316
convolution_74,CHECKPOINT,802816,0.000784,2951,4312
getitem_299,CHECKPOINT,1024,1e-06,2955,4312
getitem_300,CHECKPOINT,1024,1e-06,2956,4312
relu__71,CHECKPOINT,802816,0.000784,2958,4308
convolution_75,RECOMPUTE,3211264,0.003136,2959,4304
getitem_303,CHECKPOINT,4096,4e-06,2963,4304
getitem_304,CHECKPOINT,4096,4e-06,2964,4304
relu__72,CHECKPOINT,3211264,0.003136,2967,4299
convolution_76,CHECKPOINT,802816,0.000784,2968,4295
getitem_307,CHECKPOINT,1024,1e-06,2972,4295
getitem_308,CHECKPOINT,1024,1e-06,2973,4295
relu__73,CHECKPOINT,802816,0.000784,2975,4291
convolution_77,CHECKPOINT,802816,0.000784,2976,4287
getitem_311,CHECKPOINT,1024,1e-06,2980,4287
getitem_312,CHECKPOINT,1024,1e-06,2981,4287
