activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
getitem_285,2924,-1,4345,4345,0,0.0,0.0,1e-06,0,0.1
relu__67,2925,2926,4341,4344,12845056,0.29781411270517816,0.0,0.012544,12845056,12544.0
convolution_71,2926,2928,4337,4337,12845056,0.2973362247040491,0.0,0.012544,12845056,12544.0
getitem_287,2930,-1,4337,4337,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_288,2931,-1,4337,4337,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_289,2932,-1,4337,4337,0,0.0,0.0,1e-06,0,0.1
relu__68,2933,2934,4333,4336,12845056,0.2950189766800027,0.0,0.012544,12845056,12544.0
convolution_72,2934,2936,4329,4329,51380224,0.2941147846980016,0.0,0.050176,51380224,50176.0
getitem_291,2938,-1,4329,4329,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_292,2939,-1,4329,4329,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_293,2940,-1,4329,4329,0,0.0,0.0,1e-06,0,0.1
relu__69,2942,2966,4324,4328,51380224,0.28670742465648774,0.0,0.050176,51380224,50176.0
convolution_73,2943,2945,4320,4320,12845056,0.2902849607346576,0.0,0.012544,12845056,12544.0
getitem_295,2947,-1,4320,4320,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_296,2948,-1,4320,4320,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_297,2949,-1,4320,4320,0,0.0,0.0,1e-06,0,0.1
relu__70,2950,2951,4316,4319,12845056,0.2868321286933494,0.0,0.012544,12845056,12544.0
convolution_74,2951,2953,4312,4312,12845056,0.2864392327023668,0.0,0.012544,12845056,12544.0
getitem_299,2955,-1,4312,4312,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_300,2956,-1,4312,4312,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_301,2957,-1,4312,4312,0,0.0,0.0,1e-06,0,0.1
relu__71,2958,2959,4308,4311,12845056,0.2842509447047484,0.0,0.012544,12845056,12544.0
convolution_75,2959,2961,4304,4304,51380224,0.28338857671339035,0.0,0.050176,51380224,50176.0
getitem_303,2963,-1,4304,4304,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_304,2964,-1,4304,4304,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_305,2965,-1,4304,4304,0,0.0,0.0,1e-06,0,0.1
relu__72,2967,2991,4299,4303,51380224,0.2761216967208308,0.0,0.050176,51380224,50176.0
convolution_76,2968,2970,4295,4295,12845056,0.2787868487229567,0.0,0.012544,12845056,12544.0
getitem_307,2972,-1,4295,4295,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_308,2973,-1,4295,4295,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_309,2974,-1,4295,4295,0,0.0,0.0,1e-06,0,0.1
relu__73,2975,2976,4291,4294,12845056,0.2752654086640101,0.0,0.012544,12845056,12544.0
convolution_77,2976,2978,4287,4287,12845056,0.27476179265323997,0.0,0.012544,12845056,12544.0
getitem_311,2980,-1,4287,4287,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_312,2981,-1,4287,4287,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_313,2982,-1,4287,4287,0,0.0,0.0,1e-06,0,0.1
relu__74,2983,2984,4283,4286,12845056,0.27256640068907256,0.0,0.012544,12845056,12544.0
convolution_78,2984,2986,4279,4279,51380224,0.2716908806981515,0.0,0.050176,51380224,50176.0
getitem_315,2988,-1,4279,4279,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_316,2989,-1,4279,4279,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_317,2990,-1,4279,4279,0,0.0,0.0,1e-06,0,0.1
relu__75,2992,3016,4274,4278,51380224,0.26458278464805324,0.0,0.050176,51380224,50176.0
convolution_79,2993,2995,4270,4270,12845056,0.2679117126828057,0.0,0.012544,12845056,12544.0
getitem_319,2997,-1,4270,4270,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_320,2998,-1,4270,4270,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_321,2999,-1,4270,4270,0,0.0,0.0,1e-06,0,0.1
relu__76,3000,3001,4266,4269,12845056,0.26439916862640517,0.0,0.012544,12845056,12544.0
convolution_80,3001,3003,4262,4262,12845056,0.26400294463243323,0.0,0.012544,12845056,12544.0
getitem_323,3005,-1,4262,4262,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_324,3006,-1,4262,4262,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_325,3007,-1,4262,4262,0,0.0,0.0,1e-06,0,0.1
relu__77,3008,3009,4258,4261,12845056,0.2619436806151642,0.0,0.012544,12845056,12544.0
convolution_81,3009,3011,4254,4254,51380224,0.26107328062038865,0.0,0.050176,51380224,50176.0
getitem_327,3013,-1,4254,4254,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_328,3014,-1,4254,4254,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_329,3015,-1,4254,4254,0,0.0,0.0,1e-06,0,0.1
relu__78,3017,3041,4249,4253,51380224,0.25473606466408805,0.0,0.050176,51380224,50176.0
convolution_82,3018,3020,4245,4245,12845056,0.25738444863911697,0.0,0.012544,12845056,12544.0
getitem_331,3022,-1,4245,4245,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_332,3023,-1,4245,4245,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_333,3024,-1,4245,4245,0,0.0,0.0,1e-06,0,0.1
relu__79,3025,3026,4241,4244,12845056,0.2543401287021113,0.0,0.012544,12845056,12544.0
convolution_83,3026,3028,4237,4237,12845056,0.2540052807023746,0.0,0.012544,12845056,12544.0
getitem_335,3030,-1,4237,4237,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_336,3031,-1,4237,4237,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_337,3032,-1,4237,4237,0,0.0,0.0,1e-06,0,0.1
relu__80,3033,3034,4233,4236,12845056,0.2521482247104866,0.0,0.012544,12845056,12544.0
convolution_84,3034,3036,4229,4229,51380224,0.25127580871153604,0.0,0.050176,51380224,50176.0
getitem_339,3038,-1,4229,4229,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_340,3039,-1,4229,4229,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_341,3040,-1,4229,4229,0,0.0,0.0,1e-06,0,0.1
relu__81,3042,3066,4224,4228,51380224,0.24499065672326822,0.0,0.050176,51380224,50176.0
convolution_85,3043,3045,4220,4220,12845056,0.24778812873084077,0.0,0.012544,12845056,12544.0
getitem_343,3047,-1,4220,4220,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_344,3048,-1,4220,4220,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_345,3049,-1,4220,4220,0,0.0,0.0,1e-06,0,0.1
relu__82,3050,3051,4216,4219,12845056,0.24480208070483037,0.0,0.012544,12845056,12544.0
convolution_86,3051,3053,4212,4212,12845056,0.24446800070349106,0.0,0.012544,12845056,12544.0
getitem_347,3055,-1,4212,4212,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_348,3056,-1,4212,4212,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_349,3057,-1,4212,4212,0,0.0,0.0,1e-06,0,0.1
relu__83,3058,3059,4208,4211,12845056,0.24256886468175784,0.0,0.012544,12845056,12544.0
convolution_87,3059,3061,4204,4204,51380224,0.24169763265643252,0.0,0.050176,51380224,50176.0
getitem_351,3063,-1,4204,4204,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_352,3064,-1,4204,4204,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_353,3065,-1,4204,4204,0,0.0,0.0,1e-06,0,0.1
relu__84,3067,3091,4199,4203,51380224,0.23539267262909558,0.0,0.050176,51380224,50176.0
convolution_88,3068,3070,4195,4195,12845056,0.23822598463390005,0.0,0.012544,12845056,12544.0
