activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,avg_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
getitem_229,2807,-1,4462,4462,0,0.0,0.0,0.0,0,0.0
relu__53,2808,2809,4458,4461,3211264,0.33856700863316685,0.0,0.0005990079939365387,3211264,inf
convolution_57,2809,2811,4454,4454,12845056,0.3373607366308573,0.0,0.0007731199860572815,12845056,inf
getitem_231,2813,-1,4454,4454,4096,0.0,0.0,0.0,4096,0.0
getitem_232,2814,-1,4454,4454,4096,0.0,0.0,0.0,4096,0.0
getitem_233,2815,-1,4454,4454,0,0.0,0.0,0.0,0,0.0
relu__54,2817,2841,4449,4453,12845056,0.33156908849440536,0.0,0.003339264081791043,12845056,inf
convolution_58,2818,2820,4445,4445,3211264,0.3338352005518976,0.0,0.00069427203014493,3211264,inf
getitem_235,2822,-1,4445,4445,1024,0.0,0.0,0.0,1024,0.0
getitem_236,2823,-1,4445,4445,1024,0.0,0.0,0.0,1024,0.0
getitem_237,2824,-1,4445,4445,0,0.0,0.0,0.0,0,0.0
relu__55,2825,2826,4441,4444,3211264,0.33077446450665615,0.0,0.0011919360533356666,3211264,inf
convolution_59,2826,2828,4437,4437,3211264,0.3302153604961934,0.0,0.0012820480540394782,3211264,inf
getitem_239,2830,-1,4437,4437,1024,0.0,0.0,0.0,1024,0.0
getitem_240,2831,-1,4437,4437,1024,0.0,0.0,0.0,1024,0.0
getitem_241,2832,-1,4437,4437,0,0.0,0.0,0.0,0,0.0
relu__56,2833,2834,4433,4436,3211264,0.328420288499445,0.0,0.0005775360129773617,3211264,inf
convolution_60,2834,2836,4429,4429,12845056,0.32720480051264195,0.0,0.0008325120061635971,12845056,inf
getitem_243,2838,-1,4429,4429,4096,0.0,0.0,0.0,4096,0.0
getitem_244,2839,-1,4429,4429,4096,0.0,0.0,0.0,4096,0.0
getitem_245,2840,-1,4429,4429,0,0.0,0.0,0.0,0,0.0
relu__57,2842,2866,4424,4428,12845056,0.32113452862016884,0.0,0.003433471962809563,12845056,inf
convolution_61,2843,2845,4420,4420,3211264,0.32353580862097475,0.0,0.0007464959695935248,3211264,inf
getitem_247,2847,-1,4420,4420,1024,0.0,0.0,0.0,1024,0.0
getitem_248,2848,-1,4420,4420,1024,0.0,0.0,0.0,1024,0.0
getitem_249,2849,-1,4420,4420,0,0.0,0.0,0.0,0,0.0
relu__58,2850,2851,4416,4419,3211264,0.3205764486249539,0.0,0.001162240020930767,3211264,inf
convolution_62,2851,2853,4412,4412,3211264,0.3200685446113351,0.0,0.0012922880202531815,3211264,inf
getitem_251,2855,-1,4412,4412,1024,0.0,0.0,0.0,1024,0.0
